Line,StationID,Station,ShortCode,Latitude,Longitude,Elevation,Distance
HVL,1,Wellington Station,WELL,-41.27907882,174.7804584,5,0
HVL,8,Ngauranga Station,NGAU,-41.2490365,174.8130254,0,4.309151417
HVL,11,Petone Station,PETO,-41.22189758,174.8696394,1.055,9.798603388
HVL,13,Ava Station,AVA ,-41.2197675,174.892103,0,11.42859038
HVL,16,Woburn Station,WOBU,-41.22109383,174.911082,1.613,12.6816054
HVL,19,Waterloo Station,WATE,-41.21389102,174.9211563,0,13.81708144
HVL,21,Epuni Station,EPUN,-41.20767216,174.930013,0,14.81209516
HVL,23,Naenae Station,NAEN,-41.1983367,174.9453284,0,16.45145422
HVL,25,Wingate Station,WING,-41.18899429,174.9545387,17,17.6702989
HVL,26,Taita Station,TAIT,-41.18014471,174.9608151,28.121,18.66836378
HVL,27,Pomare Station,POMA,-41.16958985,174.9695591,29.553,19.95847279
HVL,29,Manor Park Station,MANO,-41.15629494,174.978979,24,21.4969273
HVL,32,Silverstream Station,SILV,-41.14734399,175.0102428,40.258,24.16642269
HVL,33,Heretaunga Station,HERE,-41.14252871,175.0256494,48,25.51904937
HVL,34,Trentham Station,TREN,-41.13781812,175.0384275,18,26.69129796
HVL,36,Wallaceville Station,WALL,-41.13050513,175.0587908,60.778,28.55024691
HVL,37,Upper Hutt Station,UPPE,-41.12620584,175.0708178,51,29.64875321
JVL,1,Wellington Station,WELL,-41.27907882,174.7804584,5,0
JVL,2,Crofton Downs Station,CROF,-41.25550412,174.7665992,65.821,2.86590556
JVL,3,Ngaio Station,NGAI,-41.25106116,174.7717944,91.359,3.198475156
JVL,4,Simla Crescent Station,SIML,-41.24685851,174.7842935,124.25,3.597046847
JVL,5,Awarua Street Station,AWAR,-41.24626157,174.7755388,116.927,3.672207004
JVL,6,Box Hill Station,BOX ,-41.24610024,174.7888747,138.105,3.733918763
JVL,7,Khandallah Station,KHAN,-41.24289762,174.7933272,148,4.164482863
JVL,9,Raroa Station,RARO,-41.2321673,174.8017708,158,5.512173299
JVL,10,Johnsonville Station,JOHN,-41.22365441,174.8047212,144,6.488120235
KPL,1,Wellington Station,WELL,-41.27907882,174.7804584,5,0
KPL,12,Takapu Road Station,TAKA,-41.18511871,174.8281852,40.407,11.18423714
KPL,15,Redwood Station,REDW,-41.17650279,174.8269407,36.998,12.05015483
KPL,17,Tawa Station,TAWA,-41.16916181,174.828389,33.376,12.86279907
KPL,20,Linden Station,LIND,-41.15887982,174.8319081,16.274,14.04119929
KPL,22,Kenepuru Station,KENE,-41.14970302,174.8384742,19,15.18238304
KPL,24,Porirua Station,PORI,-41.1379878,174.8433772,13.023,16.54798129
KPL,28,Paremata Station,PARE,-41.10604716,174.8664764,3,20.5424125
KPL,30,Mana Station,MANA,-41.09515696,174.8681072,6.148,21.72662572
KPL,31,Plimmerton Station,PLIM,-41.08409512,174.8673025,2,22.86691084
KPL,35,Pukerua Bay Station,PUKE,-41.03842919,174.8864535,80,28.19195103
KPL,39,Paekakariki Station,PAEK,-40.98747572,174.9539164,6.559,35.53029551
KPL,40,Paraparaumu Station,PARA,-40.91595474,175.0076134,12.445,44.63920272
KPL,42,Waikanae Station,WAIK,-40.87660559,175.0660641,31.182,50.75360934
MEL,1,Wellington Station,WELL,-41.27907882,174.7804584,5,0
MEL,8,Ngauranga Station,NGAU,-41.2490365,174.8130254,0,4.309151417
MEL,11,Petone Station,PETO,-41.22189758,174.8696394,1.055,9.798603388
MEL,14,Western Hutt Station,WEST,-41.21188136,174.8900105,8.052,11.82046391
MEL,18,Melling Station,MELL,-41.20372907,174.9051114,5.522,13.37262021
WRL,1,Wellington Station,WELL,-41.27907882,174.7804584,5,0
WRL,11,Petone Station,PETO,-41.22189758,174.8696394,1.055,9.798603388
WRL,19,Waterloo Station,WATE,-41.21389102,174.9211563,0,13.81708144
WRL,37,Upper Hutt Station,UPPE,-41.12620584,175.0708178,51,29.64875321
WRL,38,Maymorn Station,MAYM,-41.10822175,175.1327232,125.517,35.06726172
WRL,41,Featherston Station,FEAT,-41.11329682,175.3302922,45.134,49.5601358
WRL,43,Woodside Station,WOOD,-41.06730336,175.4017033,95,57.08108987
WRL,44,Matarawa Station,MATA,-41.0486963,175.448524,73,61.51222066
WRL,45,Carterton Station,CART,-41.02205478,175.5232396,80,68.44370497
WRL,46,Solway Station,SOLW,-40.95370223,175.6248631,123,79.45223352
WRL,47,Renall Street Station,RENA,-40.94744654,175.6392827,122,80.84748007
WRL,48,Masterton Station,MAST,-40.94031498,175.6550755,115,82.3901593
